uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
Rio Grande do Sul,43,2025,48414,159,6505,17710,1600,90.9086,40.5492,29.0007,98.0452,107.4881,38.39,29.8713,106.5541,47.0501,46.6658,26.6103,91.9452,25974,32.1152,32.1152,32.1152,74388
Mato Grosso do Sul,50,2023,33106,427,0,6351,349,248.9839,0,74.8175,132.8518,285.5656,0,79.0352,132.8518,196.3066,0,73.8508,62.8888,7127,86.4223,90.542,73.8508,40233
Mato Grosso do Sul,50,2024,30910,418,0,6231,349,250.5124,0,79.0352,138.3186,285.5656,0,89.2856,143.0379,201.54,0,73.8508,121.4973,6998,90.542,94.564,79.0352,37908
Mato Grosso do Sul,50,2025,20780,305,0,4271,239,230.4662,0,89.2856,132.8518,266.8798,0,94.7829,138.3186,196.3066,0,74.8175,47.5333,4815,94.7829,103.7223,79.0352,25595
Mato Grosso,51,2023,42289,497,2113,12358,1296,258.1802,161.9562,69.8756,471.789,275.098,203.1953,65.6345,534.9025,126.3226,156.9436,72.1507,449.3887,16264,91.7831,91.4816,96.9148,58553
Mato Grosso,51,2024,40576,506,1790,11400,1038,258.1802,170.8663,69.8756,568.3385,258.1802,203.1953,65.1743,574.154,152.7275,156.9436,72.1507,494.6585,14734,91.7831,90.1935,98.548,55310
Mato Grosso,51,2025,27798,336,1207,7982,737,239.0366,161.9562,70.0972,471.789,244.6647,202.9043,70.0972,471.789,202.1179,156.9436,67.925,434.5214,10262,91.7831,91.7831,90.3038,38060
Goiás,52,2023,53373,12717,3215,11318,11197,21.2427,113.6456,36.5273,47.5387,57.328,130.916,38.604,45.5177,18.5967,102.2075,34.6187,106.9115,38447,45.5177,47.5387,34.6187,91822
Goiás,52,2024,51752,12658,3201,10864,10388,21.2427,108.9162,36.3097,47.5387,83.1439,128.7999,40.1803,45.5177,18.5967,102.2075,33.1639,106.9115,37111,45.5177,47.5387,34.6187,88867
Goiás,52,2025,35083,7261,2083,7236,6477,21.2427,108.9162,36.0197,49.2875,64.8654,118.7312,39.5883,47.5387,18.5967,102.2075,33.1639,77.9702,23057,45.5177,49.2875,34.6187,58141
Distrito Federal,53,2023,35123,428,0,0,0,0,0,0,77.9702,0,0,0,77.9702,0,0,0,77.9702,428,77.9702,77.9702,77.9702,35551
Distrito Federal,53,2024,32896,386,0,0,0,0,0,0,77.9702,0,0,0,59.4445,0,0,0,77.9702,386,77.9702,59.4445,77.9702,33282
Distrito Federal,53,2025,20242,258,0,0,0,0,0,0,59.4445,0,0,0,59.4445,0,0,0,203.8421,258,59.4445,59.4445,203.8421,20500
Brasil,55,2023,1676527,37321,145454,579126,99092,64.8821,70.1098,31.0473,59.4445,64.8821,70.1555,30.422,57.4255,64.5762,69.8939,31.8515,77.9702,860993,37.9592,37.8336,38.1959,2537576
Brasil,55,2024,1565570,36867,140802,551378,94663,64.8821,70.1555,31.2666,59.4445,67.2569,71.9203,30.5966,57.4255,61.7408,68.2323,32.8155,80.3961,823710,38.6581,38.3511,39.7428,2389325
Brasil,55,2025,1026615,22568,94278,363801,61663,64.785,71.2674,31.6315,59.4445,67.2569,72.7036,31.0688,57.4255,57.328,68.2323,32.7184,80.9769,542310,39.4989,39.5731,39.1832,1568955
