"codmunres","ano","nascimentos","partos_na_macro_com_1mais_uti","partos_na_macro_com_4mais_uti","partos_na_macro_sem_1mais_uti","partos_na_macro_sem_4mais_uti","partos_fora_macro_com_1mais_uti","partos_fora_macro_com_4mais_uti","partos_fora_macro_sem_1mais_uti","partos_fora_macro_sem_4mais_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
120045,2025,4,3,3,1,1,0,0,0,0,0,0
120050,2023,10,4,4,6,6,0,0,0,0,0,0
120050,2024,11,8,8,3,3,0,0,0,0,0,0
120050,2025,5,3,3,2,2,0,0,0,0,0,0
120060,2023,11,9,9,2,2,0,0,0,0,0,0
120060,2024,3,1,1,2,2,0,0,0,0,0,0
120060,2025,2,0,0,2,2,0,0,0,0,0,0
120070,2023,5,4,4,1,1,0,0,0,0,0,0
120070,2024,3,1,1,2,2,0,0,0,0,0,0
120070,2025,0,0,0,0,0,0,0,0,0,0,0
120080,2023,3,3,3,0,0,0,0,0,0,0,0
120080,2024,0,0,0,0,0,0,0,0,0,0,0
120080,2025,2,2,2,0,0,0,0,0,0,0,0
130002,2023,1,0,0,1,1,0,0,0,0,0,0
130002,2024,2,0,0,2,2,0,0,0,0,0,0
130002,2025,0,0,0,0,0,0,0,0,0,0,0
130006,2023,1,0,0,1,1,0,0,0,0,0,0
130006,2024,1,0,0,1,1,0,0,0,0,0,0
130006,2025,0,0,0,0,0,0,0,0,0,0,0
130008,2023,3,1,1,2,2,0,0,0,0,0,0
130008,2024,2,2,2,0,0,0,0,0,0,0,0
130008,2025,0,0,0,0,0,0,0,0,0,0,0
130010,2023,3,1,1,2,2,0,0,0,0,0,0
130010,2024,1,0,0,1,1,0,0,0,0,0,0
130010,2025,3,3,3,0,0,0,0,0,0,0,0
130014,2023,2,0,0,2,2,0,0,0,0,0,0
130014,2024,1,0,0,0,0,1,1,0,0,0,0
130014,2025,1,0,0,1,1,0,0,0,0,0,0
130020,2023,1,0,0,1,1,0,0,0,0,0,0
130020,2024,1,0,0,0,0,1,1,0,0,0,0
130020,2025,2,0,0,0,0,2,2,0,0,0,0
130030,2023,7,3,3,4,4,0,0,0,0,0,0
130030,2024,6,4,4,2,2,0,0,0,0,0,0
130030,2025,4,3,3,1,1,0,0,0,0,0,0
130040,2023,5,0,0,5,5,0,0,0,0,0,0
130040,2024,6,1,1,4,4,1,1,0,0,0,0
130040,2025,2,1,1,1,1,0,0,0,0,0,0
130050,2023,5,3,3,1,1,1,1,0,0,0,0
130050,2024,6,1,1,3,3,2,2,0,0,0,0
130050,2025,2,0,0,2,2,0,0,0,0,0,0
130060,2023,4,0,0,4,4,0,0,0,0,0,0
130060,2024,4,0,0,1,1,3,3,0,0,0,0
130060,2025,9,0,0,5,5,4,4,0,0,0,0
130063,2023,4,2,2,2,2,0,0,0,0,0,0
130063,2024,1,1,1,0,0,0,0,0,0,0,0
130063,2025,2,1,1,1,1,0,0,0,0,0,0
130068,2023,1,0,0,1,1,0,0,0,0,0,0
130068,2024,2,1,1,1,1,0,0,0,0,0,0
130068,2025,1,0,0,1,1,0,0,0,0,0,0
130070,2023,7,0,0,0,0,6,6,1,1,0,0
130070,2024,3,0,0,1,1,1,1,1,1,0,0
130070,2025,4,0,0,1,1,3,3,0,0,0,0
130080,2023,10,0,0,4,4,4,4,2,2,0,0
130080,2024,3,0,0,1,1,2,2,0,0,0,0
130080,2025,4,0,0,4,4,0,0,0,0,0,0
130083,2023,1,0,0,1,1,0,0,0,0,0,0
130083,2024,1,0,0,1,1,0,0,0,0,0,0
130083,2025,2,0,0,2,2,0,0,0,0,0,0
130090,2023,2,1,1,1,1,0,0,0,0,0,0
130090,2024,1,0,0,1,1,0,0,0,0,0,0
130090,2025,0,0,0,0,0,0,0,0,0,0,0
130100,2023,5,0,0,4,4,1,1,0,0,0,0
130100,2024,3,0,0,1,1,2,2,0,0,0,0
130100,2025,4,0,0,1,1,3,3,0,0,0,0
130110,2023,1,1,1,0,0,0,0,0,0,0,0
130110,2024,9,3,3,6,6,0,0,0,0,0,0
130110,2025,5,3,3,2,2,0,0,0,0,0,0
130115,2023,1,1,1,0,0,0,0,0,0,0,0
130115,2024,1,1,1,0,0,0,0,0,0,0,0
130115,2025,2,2,2,0,0,0,0,0,0,0,0
130120,2023,17,4,4,13,13,0,0,0,0,0,0
130120,2024,13,5,5,8,8,0,0,0,0,0,0
130120,2025,6,2,2,4,4,0,0,0,0,0,0
130130,2023,1,1,1,0,0,0,0,0,0,0,0
130130,2024,1,1,1,0,0,0,0,0,0,0,0
130130,2025,0,0,0,0,0,0,0,0,0,0,0
130140,2023,4,0,0,2,2,2,2,0,0,0,0
130140,2024,4,0,0,2,2,2,2,0,0,0,0
130140,2025,2,0,0,2,2,0,0,0,0,0,0
130150,2023,1,0,0,1,1,0,0,0,0,0,0
130150,2024,2,0,0,0,0,2,2,0,0,0,0
130150,2025,2,0,0,1,1,1,1,0,0,0,0
130160,2023,2,0,0,2,2,0,0,0,0,0,0
130160,2024,3,0,0,3,3,0,0,0,0,0,0
130160,2025,1,0,0,1,1,0,0,0,0,0,0
130165,2023,1,0,0,0,0,1,1,0,0,0,0
130165,2024,3,0,0,0,0,3,3,0,0,0,0
130165,2025,3,0,0,0,0,3,3,0,0,0,0
130170,2023,5,0,0,3,3,2,2,0,0,0,0
130170,2024,11,0,0,5,5,6,6,0,0,0,0
130170,2025,8,0,0,4,4,4,4,0,0,0,0
130180,2023,3,0,0,1,1,2,2,0,0,0,0
130180,2024,2,0,0,2,2,0,0,0,0,0,0
130180,2025,2,0,0,1,1,1,1,0,0,0,0
130185,2023,12,11,11,1,1,0,0,0,0,0,0
130185,2024,9,8,8,1,1,0,0,0,0,0,0
130185,2025,6,5,5,1,1,0,0,0,0,0,0
130190,2023,22,0,0,13,13,8,8,0,0,1,0
130190,2024,23,0,0,10,10,13,13,0,0,0,0
130190,2025,8,0,0,3,3,5,5,0,0,0,0
130195,2023,1,0,0,1,1,0,0,0,0,0,0
130195,2024,1,0,0,0,0,1,1,0,0,0,0
130195,2025,0,0,0,0,0,0,0,0,0,0,0
130200,2023,0,0,0,0,0,0,0,0,0,0,0
130200,2024,1,0,0,0,0,1,1,0,0,0,0
130200,2025,0,0,0,0,0,0,0,0,0,0,0
130210,2023,3,0,0,3,3,0,0,0,0,0,0
130210,2024,1,0,0,1,1,0,0,0,0,0,0
130210,2025,0,0,0,0,0,0,0,0,0,0,0
130220,2023,6,0,0,4,4,2,2,0,0,0,0
130220,2024,1,0,0,1,1,0,0,0,0,0,0
130220,2025,0,0,0,0,0,0,0,0,0,0,0
130230,2023,4,0,0,3,3,1,1,0,0,0,0
130230,2024,4,0,0,4,4,0,0,0,0,0,0
130230,2025,1,0,0,1,1,0,0,0,0,0,0
130240,2023,2,0,0,2,2,0,0,0,0,0,0
130240,2024,5,1,1,4,4,0,0,0,0,0,0
130240,2025,2,0,0,2,2,0,0,0,0,0,0
130250,2023,14,7,7,7,7,0,0,0,0,0,0
130250,2024,20,10,10,10,10,0,0,0,0,0,0
130250,2025,10,5,5,5,5,0,0,0,0,0,0
130255,2023,3,3,3,0,0,0,0,0,0,0,0
130255,2024,2,2,2,0,0,0,0,0,0,0,0
130255,2025,1,0,0,1,1,0,0,0,0,0,0
130260,2023,563,545,545,11,11,2,2,0,0,5,0
130260,2024,506,491,491,10,10,3,3,0,0,2,0
130260,2025,355,348,348,6,6,0,0,0,0,1,0
130270,2023,9,0,0,6,6,3,3,0,0,0,0
130270,2024,4,0,0,0,0,4,4,0,0,0,0
130270,2025,3,0,0,2,2,1,1,0,0,0,0
130280,2023,3,0,0,3,3,0,0,0,0,0,0
130280,2024,0,0,0,0,0,0,0,0,0,0,0
130280,2025,1,0,0,1,1,0,0,0,0,0,0
130290,2023,10,0,0,8,8,2,2,0,0,0,0
130290,2024,16,0,0,13,13,3,3,0,0,0,0
130290,2025,5,0,0,5,5,0,0,0,0,0,0
130300,2023,1,0,0,1,1,0,0,0,0,0,0
130300,2024,2,1,1,1,1,0,0,0,0,0,0
130300,2025,0,0,0,0,0,0,0,0,0,0,0
130310,2023,2,1,1,1,1,0,0,0,0,0,0
130310,2024,4,2,2,2,2,0,0,0,0,0,0
130310,2025,3,2,2,1,1,0,0,0,0,0,0
130320,2023,2,1,1,1,1,0,0,0,0,0,0
130320,2024,2,1,1,1,1,0,0,0,0,0,0
130320,2025,0,0,0,0,0,0,0,0,0,0,0
130330,2023,6,0,0,4,4,2,2,0,0,0,0
130330,2024,2,0,0,2,2,0,0,0,0,0,0
130330,2025,4,0,0,3,3,1,1,0,0,0,0
130340,2023,27,14,14,9,9,4,4,0,0,0,0
130340,2024,20,6,6,13,13,1,1,0,0,0,0
130340,2025,19,4,4,11,11,4,4,0,0,0,0
130350,2023,4,0,0,1,1,3,3,0,0,0,0
130350,2024,4,0,0,3,3,1,1,0,0,0,0
130350,2025,0,0,0,0,0,0,0,0,0,0,0
130353,2023,5,4,4,1,1,0,0,0,0,0,0
130353,2024,9,4,4,5,5,0,0,0,0,0,0
130353,2025,5,5,3,0,2,0,0,0,0,0,0
130356,2023,3,3,3,0,0,0,0,0,0,0,0
130356,2024,5,5,5,0,0,0,0,0,0,0,0
130356,2025,2,2,2,0,0,0,0,0,0,0,0
130360,2023,3,2,2,1,1,0,0,0,0,0,0
