"codmunres","ano","nascidos_condicoes_ameacadoras","nascidos_estabelecimentos_publicos_sih","internacoes_na_macro_1_a_6_dias","internacoes_fora_macro_1_a_6_dias","internacoes_geral_1_a_6_dias","internacoes_na_macro_7_a_27_dias","internacoes_fora_macro_7_a_27_dias","internacoes_geral_7_a_27_dias","internacoes_na_macro_0_dias","internacoes_fora_macro_0_dias","internacoes_geral_0_dias","internacoes_na_macro_geral","internacoes_fora_macro_geral","internacoes_geral_geral","internacoes_fora_macro_0_dias_internado_uti","internacoes_fora_macro_1_a_6_dias_internado_uti","internacoes_fora_macro_7_a_27_dias_internado_uti","internacoes_na_macro_0_dias_internado_uti","internacoes_na_macro_1_a_6_dias_internado_uti","internacoes_na_macro_7_a_27_dias_internado_uti","internacoes_na_macro_geral_internado_uti","internacoes_fora_macro_geral_internado_uti","internacoes_geral_7_a_27_dias_internado_uti","internacoes_geral_1_a_6_dias_internado_uti","internacoes_geral_0_dias_internado_uti","internacoes_geral_geral_internado_uti"
"110006",2018,4,168,6,0,6,2,0,2,0,6,6,8,6,14,3,0,0,0,0,0,0,3,0,0,3,3
"110006",2019,4,141,11,1,12,0,0,0,9,5,14,20,6,26,2,0,0,0,0,0,0,2,0,0,2,2
"110006",2020,3,121,11,1,12,1,0,1,10,1,11,22,2,24,1,0,0,0,0,0,0,1,0,0,1,1
"110006",2021,3,140,10,1,11,1,1,2,16,3,19,27,5,32,2,1,1,0,0,0,0,4,1,1,2,4
"110007",2012,3,49,3,0,3,1,0,1,7,1,8,11,1,12,1,0,0,0,0,0,0,1,0,0,1,1
"110007",2013,3,51,1,1,2,1,0,1,6,0,6,8,1,9,0,1,0,0,0,0,0,1,0,1,0,1
"110007",2014,1,77,6,0,6,1,0,1,8,2,10,15,2,17,2,0,0,0,0,0,0,2,0,0,2,2
"110007",2015,0,77,7,0,7,1,0,1,11,0,11,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"110007",2016,2,75,6,1,7,1,0,1,6,1,7,13,2,15,1,1,0,0,0,0,0,2,0,1,1,2
"110007",2017,2,74,2,3,5,1,0,1,4,2,6,7,5,12,2,2,0,0,0,0,0,4,0,2,2,4
"110007",2018,1,89,9,1,10,3,0,3,1,2,3,13,3,16,1,0,0,0,0,0,0,1,0,0,1,1
"110007",2019,2,76,15,0,15,0,0,0,1,0,1,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"110007",2020,2,62,1,0,1,1,0,1,1,2,3,3,2,5,2,0,0,0,0,0,0,2,0,0,2,2
"110007",2021,5,70,4,0,4,0,0,0,5,1,6,9,1,10,1,0,0,1,0,0,1,1,0,0,2,2
"110008",2012,7,57,1,2,3,1,0,1,2,4,6,4,6,10,2,1,0,0,0,0,0,3,0,1,2,3
"110008",2013,7,33,0,2,2,0,1,1,0,8,8,0,11,11,4,1,0,0,0,0,0,5,0,1,4,5
"110008",2014,5,170,0,5,5,1,0,1,0,9,9,1,14,15,5,3,0,0,0,0,0,8,0,3,5,8
"110008",2015,8,133,1,1,2,2,0,2,0,6,6,3,7,10,4,1,0,0,0,0,0,5,0,1,4,5
"110008",2016,7,122,1,0,1,0,0,0,0,7,7,1,7,8,4,0,0,0,0,0,0,4,0,0,4,4
"110008",2017,8,138,3,1,4,0,0,0,1,2,3,4,3,7,2,1,0,0,0,0,0,3,0,1,2,3
"110008",2018,4,149,1,1,2,0,1,1,1,1,2,2,3,5,0,1,1,0,0,0,0,2,1,1,0,2
"110008",2019,10,190,6,2,8,0,0,0,2,6,8,8,8,16,2,2,0,0,1,0,1,4,0,3,2,5
"110008",2020,7,127,2,0,2,3,0,3,1,4,5,6,4,10,3,0,0,0,0,0,0,3,0,0,3,3
"110008",2021,6,83,1,0,1,1,0,1,4,4,8,6,4,10,4,0,0,0,0,0,0,4,0,0,4,4
"110009",2012,10,165,8,1,9,3,0,3,5,2,7,16,3,19,1,1,0,0,0,0,0,2,0,1,1,2
