"codmunres","ano","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal","nascidos"
"140002",2012,1,1,0,0,1,0,308
"140002",2013,1,1,0,0,0,1,307
"140002",2016,1,1,0,0,0,0,331
"140002",2019,1,1,0,0,0,0,446
"140002",2020,2,2,0,0,0,1,395
"140002",2021,1,0,0,0,0,0,435
"140002",2022,1,0,0,0,0,0,431
"140005",2012,1,0,0,0,0,0,600
"140005",2013,1,1,0,0,0,0,601
"140005",2014,1,1,0,0,0,1,563
"140005",2016,1,1,0,1,0,0,620
"140005",2017,1,1,0,1,0,0,526
"140005",2018,1,1,1,0,0,0,737
"140005",2022,1,1,0,0,1,0,703
"140010",2012,1,0,0,0,0,0,6358
"140010",2013,2,1,0,0,0,0,6350
"140010",2014,1,1,0,1,0,0,6755
"140010",2015,5,2,1,0,0,0,6719
"140010",2016,2,1,0,0,0,0,6749
"140010",2017,2,1,1,0,0,0,7043
"140010",2018,6,6,2,0,1,1,8163
"140010",2019,5,5,2,0,0,1,8936
"140010",2020,10,4,1,0,0,0,8195
"140010",2021,27,5,1,1,0,0,8108
"140010",2022,13,9,1,0,0,1,7839
"140015",2014,1,1,0,0,0,1,325
"140015",2019,1,1,0,1,0,0,470
"140015",2020,2,1,0,1,0,0,464
"140015",2022,1,1,1,0,0,0,430
"140017",2012,1,1,0,0,1,0,315
"140017",2015,3,3,0,1,0,1,327
"140017",2017,1,1,0,1,0,0,352
"140017",2020,2,1,0,0,0,0,373
"140017",2021,2,0,0,0,0,0,418
"140020",2013,1,1,0,0,0,0,424
"140020",2016,1,1,0,0,0,0,381
"140020",2019,1,1,0,0,0,1,445
"140020",2021,1,0,0,0,0,0,424
"140023",2015,1,1,0,0,1,0,139
"140023",2020,1,1,0,0,0,1,183
"140023",2021,1,0,0,0,0,0,210
"140028",2020,1,1,1,0,0,0,149
"140028",2021,1,1,0,0,1,0,142
"140028",2022,3,2,0,0,0,0,144
"140030",2016,1,1,0,1,0,0,308
"140030",2019,1,1,0,1,0,0,372
"140040",2015,1,1,0,1,0,0,442
"140040",2018,2,2,1,0,1,0,463
"140040",2019,1,1,0,1,0,0,489
"140045",2014,1,0,0,0,0,0,340
"140045",2020,1,1,0,1,0,0,508
"140047",2015,1,1,0,0,1,0,527
"140047",2017,1,1,0,1,0,0,563
"140047",2018,1,1,0,0,1,0,628
"140047",2019,1,0,0,0,0,0,567
"140047",2020,1,1,0,0,0,0,598
"140047",2021,2,2,0,0,2,0,561
"140070",2013,1,1,0,0,1,0,459
"140070",2014,1,1,0,0,1,0,466
"140070",2017,1,1,1,0,0,0,445
"140070",2021,1,1,0,0,1,0,704
"150010",2012,1,1,0,0,0,1,2530
"150010",2013,1,1,0,0,0,0,2538
"150010",2014,1,1,0,1,0,0,2705
"150010",2015,2,2,0,1,0,0,2660
"150010",2016,1,1,0,1,0,0,2532
"150010",2017,1,1,0,1,0,0,2713
"150010",2018,4,1,0,0,0,0,2671
"150010",2019,1,1,0,0,0,0,2623
"150010",2020,2,0,0,0,0,0,2552
"150010",2021,2,2,0,0,0,1,2768
"150010",2022,3,2,0,1,1,0,2452
"150013",2017,1,0,0,0,0,0,142
"150013",2019,1,1,0,0,1,0,132
"150013",2022,1,0,0,0,0,0,103
"150020",2012,1,0,0,0,0,0,966
"150020",2013,1,1,0,0,0,0,1039
"150020",2015,1,0,0,0,0,0,936
"150020",2016,3,2,0,0,1,0,996
"150020",2017,2,2,0,1,0,0,992
"150020",2018,1,0,0,0,0,0,1013
"150020",2020,2,0,0,0,0,0,947
"150030",2013,1,1,0,0,0,0,788
"150030",2014,1,1,0,0,1,0,806
"150030",2018,1,1,0,0,0,0,1022
"150030",2019,1,1,0,0,1,0,1014
"150030",2021,3,1,0,1,0,0,1063
"150034",2016,1,1,0,0,0,0,163
"150034",2020,1,1,0,0,1,0,169
"150040",2012,1,1,0,0,1,0,1138
"150040",2014,1,1,0,0,0,0,1133
"150040",2015,1,1,0,0,0,0,1133
"150040",2016,1,1,0,1,0,0,1031
"150040",2018,1,1,0,1,0,0,1190
"150040",2020,2,1,0,0,0,0,1070
"150040",2021,1,0,0,0,0,0,1131
"150040",2022,2,1,0,1,0,0,1056
"150050",2012,1,1,0,0,0,0,693
"150050",2021,1,0,0,0,0,0,792
"150060",2013,1,1,0,0,0,0,2529
"150060",2014,1,1,1,0,0,0,2866
"150060",2015,3,2,0,0,1,0,2991
"150060",2016,1,1,0,0,0,0,2846
"150060",2017,3,3,0,0,1,0,2487
"150060",2020,4,1,0,0,0,0,2332
"150060",2021,4,2,0,0,0,0,2207
"150060",2022,1,1,0,0,0,1,2283
"150070",2012,3,2,0,1,0,0,751
"150070",2017,1,1,0,0,1,0,855
"150070",2019,2,2,0,0,2,0,837
"150070",2020,1,1,0,0,0,0,821
"150080",2012,10,8,1,2,1,0,8195
"150080",2013,5,3,0,2,1,0,8035
"150080",2014,5,5,0,3,0,0,8282
"150080",2015,7,5,0,1,1,0,8397
"150080",2016,3,2,0,1,0,0,8011
"150080",2017,5,4,0,1,0,0,7940
"150080",2018,6,5,0,3,0,0,7772
"150080",2019,3,3,1,1,0,0,7408
"150080",2020,12,6,1,1,2,1,6953
"150080",2021,6,2,0,1,1,0,6856
"150080",2022,1,1,1,0,0,0,6281
"150085",2012,2,2,0,0,0,0,530
"150085",2013,2,2,0,2,0,0,531
"150085",2016,1,1,0,0,0,0,575
"150085",2017,1,1,0,1,0,0,630
"150085",2019,1,1,0,0,1,0,652
"150085",2021,1,0,0,0,0,0,649
"150085",2022,2,1,0,0,0,1,583
"150090",2012,2,1,0,1,0,0,965
"150090",2014,1,1,0,0,0,0,990
"150090",2015,1,1,0,1,0,0,954
"150090",2016,1,1,0,1,0,0,954
"150090",2019,3,3,0,1,2,0,809
"150090",2021,1,0,0,0,0,0,900
"150090",2022,1,1,0,1,0,0,698
"150095",2012,1,1,1,0,0,0,372
"150095",2013,1,1,0,0,0,0,418
"150095",2014,2,2,0,0,1,0,472
"150095",2017,1,1,0,1,0,0,401
"150095",2018,1,1,0,1,0,0,368
"150100",2017,1,1,0,1,0,0,160
"150100",2021,1,1,0,0,1,0,184
"150110",2012,2,2,1,0,1,0,465
"150110",2013,1,1,0,0,0,0,460
"150110",2015,1,1,0,1,0,0,556
"150110",2016,1,1,0,0,0,1,562
"150110",2018,1,0,0,0,0,0,582
"150110",2020,2,1,0,0,0,0,528
"150120",2014,1,1,0,0,0,1,578
"150120",2015,1,1,0,0,0,0,575
"150120",2016,1,0,0,0,0,0,567
"150120",2018,1,0,0,0,0,0,580
"150120",2020,1,0,0,0,0,0,511
"150120",2021,1,1,1,0,0,0,590
"150120",2022,1,1,0,0,0,0,538
"150130",2014,4,4,2,0,0,0,2105
"150130",2015,1,0,0,0,0,0,2098
"150130",2016,1,0,0,0,0,0,2148
"150130",2017,1,1,0,1,0,0,2154
"150130",2018,3,1,0,0,0,0,2274
"150130",2020,1,0,0,0,0,0,2271
"150130",2021,1,0,0,0,0,0,2270
"150140",2012,14,8,0,4,3,0,21371
"150140",2013,27,15,1,5,1,1,21884
"150140",2014,17,11,0,3,5,2,21530
