"LBE_FETAL","CID"
"Causas de morte mal-definidas","R480"
"Causas de morte mal-definidas","R481"
"Causas de morte mal-definidas","R482"
"Causas de morte mal-definidas","R488"
"Causas de morte mal-definidas","R49"
"Causas de morte mal-definidas","R490"
"Causas de morte mal-definidas","R491"
"Causas de morte mal-definidas","R492"
"Causas de morte mal-definidas","R498"
"Causas de morte mal-definidas","R50"
"Causas de morte mal-definidas","R500"
"Causas de morte mal-definidas","R501"
"Causas de morte mal-definidas","R509"
"Causas de morte mal-definidas","R51"
"Causas de morte mal-definidas","R52"
"Causas de morte mal-definidas","R520"
"Causas de morte mal-definidas","R521"
"Causas de morte mal-definidas","R522"
"Causas de morte mal-definidas","R529"
"Causas de morte mal-definidas","R53"
"Causas de morte mal-definidas","R54"
"Causas de morte mal-definidas","R55"
"Causas de morte mal-definidas","R56"
"Causas de morte mal-definidas","R560"
"Causas de morte mal-definidas","R568"
"Causas de morte mal-definidas","R57"
"Causas de morte mal-definidas","R570"
"Causas de morte mal-definidas","R571"
"Causas de morte mal-definidas","R578"
"Causas de morte mal-definidas","R579"
"Causas de morte mal-definidas","R58"
"Causas de morte mal-definidas","R59"
"Causas de morte mal-definidas","R590"
"Causas de morte mal-definidas","R591"
"Causas de morte mal-definidas","R599"
"Causas de morte mal-definidas","R60"
"Causas de morte mal-definidas","R600"
"Causas de morte mal-definidas","R601"
"Causas de morte mal-definidas","R609"
"Causas de morte mal-definidas","R61"
"Causas de morte mal-definidas","R610"
"Causas de morte mal-definidas","R611"
"Causas de morte mal-definidas","R619"
"Causas de morte mal-definidas","R62"
"Causas de morte mal-definidas","R620"
"Causas de morte mal-definidas","R628"
"Causas de morte mal-definidas","R629"
"Causas de morte mal-definidas","R63"
"Causas de morte mal-definidas","R630"
"Causas de morte mal-definidas","R631"
"Causas de morte mal-definidas","R632"
"Causas de morte mal-definidas","R633"
"Causas de morte mal-definidas","R634"
"Causas de morte mal-definidas","R635"
"Causas de morte mal-definidas","R638"
"Causas de morte mal-definidas","R64"
"Causas de morte mal-definidas","R68"
"Causas de morte mal-definidas","R680"
"Causas de morte mal-definidas","R681"
"Causas de morte mal-definidas","R682"
"Causas de morte mal-definidas","R683"
"Causas de morte mal-definidas","R688"
"Causas de morte mal-definidas","R69"
"Causas de morte mal-definidas","R70"
"Causas de morte mal-definidas","R700"
"Causas de morte mal-definidas","R701"
"Causas de morte mal-definidas","R71"
"Causas de morte mal-definidas","R72"
"Causas de morte mal-definidas","R73"
"Causas de morte mal-definidas","R730"
"Causas de morte mal-definidas","R739"
"Causas de morte mal-definidas","R74"
"Causas de morte mal-definidas","R740"
"Causas de morte mal-definidas","R748"
"Causas de morte mal-definidas","R749"
"Causas de morte mal-definidas","R75"
"Causas de morte mal-definidas","R76"
"Causas de morte mal-definidas","R760"
"Causas de morte mal-definidas","R761"
"Causas de morte mal-definidas","R762"
"Causas de morte mal-definidas","R768"
"Causas de morte mal-definidas","R769"
"Causas de morte mal-definidas","R77"
"Causas de morte mal-definidas","R770"
"Causas de morte mal-definidas","R771"
"Causas de morte mal-definidas","R772"
"Causas de morte mal-definidas","R778"
"Causas de morte mal-definidas","R779"
